Name,Age,Tm,G,PA,WAR,Salary,Pos Summary,Name-additional,Year
José Abreu,32,CHW,159,693,2.5,16000000.0,*3D,abreujo02,2019
Ronald Acuna Jr.,21,ATL,156,715,5.1,560000.0,*879/H,acunaro01,2019
Willy Adames,23,TBR,152,584,3.9,562400.0,*6/H,adamewi01,2019
Nick Ahmed,29,ARI,158,625,4.2,3663000.0,*6/H,ahmedni01,2019
Hanser Alberto,26,BAL,139,550,3.5,578000.0,45/H7D19,alberha01,2019
Ozzie Albies#,22,ATL,160,702,4.9,575000.0,*4/H,albieoz01,2019
Pete Alonso,24,NYM,161,693,5.5,555000.0,*3/HD,alonspe01,2019
Jose Altuve,29,HOU,124,548,3.8,9500000.0,*4/DH6,altuvjo01,2019
Brian Anderson,26,MIA,126,520,3.3,585000.0,59/HD,anderbr06,2019
Tim Anderson,26,CHW,123,518,4.2,1400000.0,*6/DH,anderti01,2019
Elvis Andrus,30,TEX,147,648,1.5,15250000.0,*6/D,andruel01,2019
Orlando Arcia,24,MIL,152,546,-0.7,565700.0,*6/H,arciaor01,2019
Nolan Arenado,28,COL,155,662,7.3,26000000.0,*5/H,arenano01,2019
Javier Báez,26,CHC,138,561,6.6,5200000.0,*6/HD5,baezja01,2019
Josh Bell#,26,PIT,143,613,2.8,587000.0,*3/DH,belljo02,2019
Cody Bellinger*,23,LAD,156,661,8.6,605000.0,*938/H,bellico01,2019
Brandon Belt*,31,SFG,156,616,0.5,17200000.0,*3H7/D9,beltbr01,2019
Andrew Benintendi*,24,BOS,138,615,1.8,717500.0,*78/HD,beninan01,2019
Mookie Betts,26,BOS,150,706,7.3,20000000.0,*98/DH,bettsmo01,2019
Charlie Blackmon*,32,COL,140,634,2.3,21500000.0,*9/HD,blackch02,2019
Xander Bogaerts,26,BOS,155,698,6.3,12000000.0,*6/DH,bogaexa01,2019
Jackie Bradley Jr.*,29,BOS,147,567,2.0,8550000.0,*8/H9,bradlja02,2019
Michael Brantley*,32,HOU,148,637,4.8,16000000.0,*7D/9H,brantmi02,2019
Ryan Braun,35,MIL,144,508,1.7,19000000.0,*7H/D9,braunry02,2019
Alex Bregman,25,HOU,156,690,8.9,640500.0,56/D,bregmal01,2019
Kris Bryant,27,CHC,147,634,4.4,12900000.0,*597/3DH,bryankr01,2019
Asdrúbal Cabrera#,33,2TM,131,514,0.7,3500000.0,5/H,cabreas01,2019
Miguel Cabrera,36,DET,136,549,0.0,30000000.0,D3/H,cabremi01,2019
Lorenzo Cain,33,MIL,148,623,2.6,15000000.0,*8/H,cainlo01,2019
Kole Calhoun*,31,LAA,152,632,1.6,10500000.0,*9/H8,calhoko01,2019
Nick Castellanos,27,2TM,151,664,2.8,9950000.0,97,casteni01,2019
Starlin Castro,29,MIA,162,676,1.1,11857143.0,*45/6H,castrst01,2019
Matt Chapman,26,OAK,156,670,7.8,580000.0,*5,chapmma01,2019
Shin-Soo Choo*,36,TEX,151,660,1.6,21000000.0,D97H,choosh01,2019
Michael Conforto*,26,NYM,151,648,3.6,4025000.0,*98/H,confomi01,2019
Brandon Crawford*,32,SFG,147,560,-0.5,15200000.0,*6/H,crawfbr01,2019
Nelson Cruz,38,MIN,120,521,4.4,14000000.0,*D/H,cruzne02,2019
Khris Davis,31,OAK,133,533,-0.2,16500000.0,*D/H7,daviskh01,2019
Paul DeJong,25,STL,159,664,5.3,1666667.0,*6/H,dejonpa01,2019
Rafael Devers*,22,BOS,156,702,5.4,614500.0,*5/HD6,deverra01,2019
Josh Donaldson,33,ATL,155,659,5.4,23000000.0,*5/HD,donaljo02,2019
Hunter Dozier,27,KCR,139,586,2.8,567225.0,59D/3H,doziehu01,2019
Adam Eaton*,30,WSN,151,656,1.8,8400000.0,*9/7H,eatonad02,2019
Eduardo Escobar#,30,ARI,158,699,3.3,6166666.0,*54/HD,escobed01,2019
David Fletcher,25,LAA,154,653,3.8,561500.0,5467/9H,fletcda02,2019
Dexter Fowler#,33,STL,150,574,1.4,16500000.0,*98H,fowlede01,2019
Adam Frazier*,27,PIT,152,608,2.5,584000.0,*4H,fraziad01,2019
Freddie Freeman*,29,ATL,158,692,3.7,21000000.0,*3/H,freemfr01,2019
Freddy Galvis#,29,2TM,147,589,3.1,4000000.0,4/6H,galvifr01,2019
Avisaíl García,28,TBR,125,530,2.2,3500000.0,9D8/H,garciav01,2019
Leury Garcia#,28,CHW,140,618,1.3,1550000.0,*8976/H45D,garcile02,2019
Brett Gardner*,35,NYY,141,550,4.3,7500000.0,*87/HD,gardnbr01,2019
Paul Goldschmidt,31,STL,161,682,2.6,14500000.0,*3/H,goldspa01,2019
Alex Gordon*,35,KCR,150,633,0.9,20000000.0,*7/D1H,gordoal01,2019
Yasmani Grandal#,30,MIL,153,632,2.4,16000000.0,*23/HD,grandya01,2019
Randal Grichuk,27,TOR,151,628,0.7,5000000.0,*98D/H,grichra01,2019
Yuli Gurriel,35,HOU,144,612,3.9,10400000.0,*35/4DH,gourryu01,2019
Bryce Harper*,26,PHI,157,682,4.4,11538462.0,*9/HD,harpebr03,2019
César Hernández#,29,PHI,161,667,1.9,7750000.0,*4/H,hernace02,2019
Jason Heyward*,29,CHC,147,589,2.4,20000000.0,*98/H,heywaja01,2019
Rhys Hoskins,26,PHI,160,705,2.0,575000.0,*3/D,hoskirh01,2019
Eric Hosmer*,29,SDP,160,667,-0.5,21000000.0,*3/HD,hosmeer01,2019
José Iglesias,29,CIN,146,530,1.0,2500000.0,*6/H,iglesjo01,2019
Eloy Jiménez,22,CHW,122,504,1.5,1833333.0,*7/D,jimenel02,2019
Adam Jones,33,ARI,137,528,-0.8,3000000.0,*9H/8,jonesad01,2019
Max Kepler*,26,MIN,134,596,4.0,6000000.0,*98/HD,keplema01,2019
Jason Kipnis*,32,CLE,121,511,0.6,14666667.0,*4/D,kipnija01,2019
DJ LeMahieu,30,NYY,145,655,5.6,12000000.0,453/HD,lemahdj01,2019
Francisco Lindor#,25,CLE,143,654,4.8,10850000.0,*6/DH,lindofr01,2019
Evan Longoria,33,SFG,129,508,2.4,14666667.0,*5H,longoev01,2019
Manny Machado,26,SDP,156,661,2.6,12000000.0,*56/H,machama01,2019
Trey Mancini,27,BAL,154,679,3.7,575500.0,93D/7H,mancitr01,2019
Ketel Marte#,25,ARI,144,628,6.9,2400000.0,846/H,marteke01,2019
Starling Marte,30,PIT,132,586,2.9,10333334.0,*8/H,martest01,2019
J.D. Martinez,31,BOS,146,657,3.5,23750000.0,D97/H,martijd02,2019
Ryan McMahon*,24,COL,141,539,1.7,560000.0,*453H,mcmahry01,2019
Jeff McNeil*,27,NYM,133,567,5.1,567714.0,7945/H,mcneije01,2019
Austin Meadows*,24,TBR,138,591,3.9,557400.0,9D7/H8,meadoau01,2019
Whit Merrifield,30,KCR,162,735,3.6,1000000.0,498/D37,merriwh01,2019
Yoán Moncada#,24,CHW,132,559,5.2,575000.0,*5/DH,moncayo01,2019
Colin Moran*,26,PIT,149,503,-1.0,579500.0,*5H4/37,moranco01,2019
Mike Moustakas*,30,MIL,143,584,2.6,7000000.0,54/HD,moustmi01,2019
Max Muncy*,28,LAD,141,589,5.3,575000.0,435/H,muncyma01,2019
Kevin Newman,25,PIT,130,531,3.0,557500.0,64H/57,newmake01,2019
Renato Núñez,25,BAL,151,599,0.4,562000.0,*D3H/57,nunezre01,2019
Rougned Odor*,25,TEX,145,581,-0.3,7833333.0,*4/HD,odorro01,2019
Matt Olson*,25,OAK,127,547,4.9,575000.0,*3,olsonma02,2019
Marcell Ozuna,28,STL,130,549,2.3,12250000.0,*7/H,ozunama01,2019
Joc Pederson*,27,LAD,149,514,2.8,5000000.0,*79H3/8D,pederjo01,2019
Tommy Pham,31,TBR,145,654,3.9,4100000.0,*7D/H,phamth01,2019
Kevin Pillar,30,2TM,161,645,0.4,5800000.0,*89/H,pillake01,2019
Jorge Polanco#,25,MIN,153,704,4.7,3583333.0,*6D/H,polanjo01,2019
Jurickson Profar#,26,OAK,139,518,-0.1,3600000.0,*4H/D73,profaju01,2019
Yasiel Puig,28,2TM,149,611,0.9,9700000.0,9/H,puigya01,2019
Albert Pujols,39,LAA,131,545,0.3,28000000.0,3D/H5,pujolal01,2019
José Ramírez#,26,CLE,129,542,3.1,4150000.0,*5/DH,ramirjo01,2019
Wilson Ramos,31,NYM,141,524,2.1,7250000.0,*2H/D,ramoswi01,2019
J.T. Realmuto,28,PHI,145,593,4.5,5900000.0,*2H/3D,realmjt01,2019
Josh Reddick*,32,HOU,141,550,1.3,13000000.0,*97H/83D,reddijo01,2019
Anthony Rendon,29,WSN,146,646,7.1,18800000.0,*5/4,rendoan01,2019
Franmil Reyes,23,2TM,150,548,0.3,570500.0,D/H9,reyesfr01,2019
Anthony Rizzo*,29,CHC,146,613,4.3,12285715.0,*3/H,rizzoan01,2019
Victor Robles,22,WSN,155,617,4.4,557800.0,*89/H,roblevi01,2019
Miguel Rojas,30,MIA,132,526,0.9,3155000.0,*6/3H4,rojasmi02,2019
Amed Rosario,23,NYM,157,655,3.0,575500.0,*6/HD7,rosaram01,2019
Eddie Rosario*,27,MIN,137,590,1.5,4190000.0,*79/8DH,rosared01,2019
Yolmer Sanchez#,27,CHW,149,555,1.4,4625000.0,*4/H,sanchca01,2019
Carlos Santana#,33,CLE,158,686,4.5,20333333.0,*3D,santaca01,2019
Domingo Santana,26,SEA,121,507,0.5,1950000.0,79D/H,santado01,2019
Kyle Schwarber*,26,CHC,155,610,2.3,3390000.0,*7H/D2,schwaky01,2019
Corey Seager*,25,LAD,134,541,2.9,4000000.0,*6/H,seageco01,2019
Jean Segura,29,PHI,144,618,1.7,14850000.0,*6/H,segurje01,2019
Marcus Semien,28,OAK,162,747,8.5,5900000.0,*6,semiema01,2019
Mallex Smith*,26,SEA,134,566,0.0,578400.0,*89/7HD,smithma05,2019
Jorge Soler,27,KCR,162,679,3.5,4666667.0,D9/H,solerjo01,2019
Juan Soto*,20,WSN,150,659,5.0,578300.0,*7,sotoju01,2019
George Springer,29,HOU,122,556,6.4,12000000.0,*89D/H,springe01,2019
Trevor Story,26,COL,145,656,7.0,5000000.0,*6/H,storytr01,2019
Eugenio Suárez,27,CIN,159,662,3.4,7285714.0,*5/HD,suareeu01,2019
Dansby Swanson,25,ATL,127,545,1.1,585000.0,*6/H,swansda01,2019
Gleyber Torres,22,NYY,144,604,3.0,605200.0,64/DH,torregl01,2019
Mike Trout,27,LAA,134,600,7.9,17666667.0,*8D/H,troutmi01,2019
Justin Turner,34,LAD,135,549,3.8,19000000.0,*5H/D4,turneju01,2019
Trea Turner,26,WSN,122,569,4.0,3725000.0,*6,turnetr01,2019
Christian Vázquez,28,BOS,138,521,2.3,2850000.0,*2HD3/54,vazquch01,2019
Jonathan Villar#,28,BAL,162,714,4.3,4825000.0,*46/HD,villajo01,2019
Daniel Vogelbach*,26,SEA,144,558,1.1,558600.0,D3H,vogelda01,2019
Luke Voit,28,NYY,118,510,1.3,573200.0,3D/H,voitlu01,2019
Joey Votto*,35,CIN,142,608,1.4,25000000.0,*3/HD7,vottojo01,2019
Christian Walker,28,ARI,152,603,2.8,559800.0,*3H/D,walkech02,2019
Kolten Wong*,28,STL,148,549,5.1,6500000.0,*4/H,wongko01,2019
Christian Yelich*,27,MIL,130,580,7.0,9750000.0,*9/7HD8,yelicch01,2019
