Name,Age,Tm,G,PA,WAR,Salary,Pos Summary,Name-additional,Year
Adam Frazier*,29,2TM,155,639,4.0,4300000.0,*4H7/D,fraziad01,2021
Freddie Freeman*,31,ATL,159,695,4.9,22000000.0,*3,freemfr01,2021
Joey Gallo*,27,2TM,153,616,4.6,6200000.0,*97D/H,gallojo01,2021
Avisaíl García,30,MIL,135,515,3.0,10750000.0,*9H/8,garciav01,2021
Paul Goldschmidt,33,STL,158,679,6.0,26000000.0,*3/DH,goldspa01,2021
Randal Grichuk,29,TOR,149,545,0.7,10333333.0,*89D/H,grichra01,2021
Robbie Grossman#,31,DET,156,671,2.8,5000000.0,*79/DH,grossro01,2021
Lourdes Gurriel Jr.,27,TOR,141,541,2.6,3928571.0,*7D3/H,gurrilo01,2021
Yuli Gurriel,37,HOU,143,605,3.7,6500000.0,*3/5D,gourryu01,2021
Mitch Haniger,30,SEA,157,691,3.1,3010000.0,*9D,hanigmi01,2021
Ian Happ#,26,CHC,148,535,1.7,4100000.0,*78H9/45D,happia01,2021
Bryce Harper*,28,PHI,141,599,5.9,27538462.0,*9/D3,harpebr03,2021
Josh Harrison,33,2TM,138,558,2.1,1000000.0,45/67H,harrijo05,2021
César Hernández#,31,2TM,149,637,0.5,5000000.0,*4/D6,hernace02,2021
Enrique Hernández,29,BOS,134,585,5.0,6000000.0,84/6H,hernaen02,2021
Teoscar Hernández,28,TOR,143,595,3.8,4320000.0,*97D/8H,hernate01,2021
Eric Hosmer*,31,SDP,151,565,1.0,21000000.0,*3H/D,hosmeer01,2021
Aaron Judge,29,NYY,148,633,6.1,10175000.0,*98D/H,judgeaa01,2021
Isiah Kiner-Falefa,26,TEX,158,677,3.6,2000000.0,*6/HD,kineris01,2021
DJ LeMahieu,32,NYY,150,679,1.5,15000000.0,435/HD,lemahdj01,2021
Francisco Lindor#,27,NYM,125,524,3.0,22300000.0,*6/H,lindofr01,2021
Brandon Lowe*,26,TBR,149,615,4.5,2500000.0,*4H7/9D3,lowebr01,2021
Jed Lowrie#,37,OAK,139,512,0.1,1500000.0,4DH/5,lowrije01,2021
Manny Machado,28,SDP,153,640,5.0,32000000.0,*5/HD,machama01,2021
Trey Mancini,29,BAL,147,616,1.0,4750000.0,3D/H,mancitr01,2021
Starling Marte,32,2TM,120,526,4.7,12500000.0,8/H,martest01,2021
J.D. Martinez,33,BOS,148,634,3.1,19350000.0,*D7/9,martijd02,2021
Andrew McCutchen,34,PHI,144,574,1.4,20000000.0,*7H/D,mccutan01,2021
Ryan McMahon*,26,COL,151,596,3.9,2375000.0,*54H,mcmahry01,2021
Whit Merrifield,32,KCR,162,720,3.8,6750000.0,*49/D7,merriwh01,2021
Yoán Moncada#,26,CHW,144,616,4.0,6800000.0,*5/D,moncayo01,2021
Max Muncy*,30,LAD,144,592,4.7,9000000.0,*34/5HD,muncyma01,2021
Shohei Ohtani*,26,LAA,155,639,4.9,3000000.0,*D1/H97,ohtansh01,2021
Matt Olson*,27,OAK,156,673,5.8,5000000.0,*3/D,olsonma02,2021
David Peralta*,33,ARI,150,538,1.1,7500000.0,*7H/D1,peralda01,2021
Salvador Perez,31,KCR,161,665,5.5,14200000.0,*2D/H,perezsa02,2021
Tommy Pham,33,SDP,155,561,1.4,8900000.0,*7H8/D9,phamth01,2021
Jorge Polanco#,27,MIN,152,644,4.9,4333333.0,*46/DH,polanjo01,2021
José Ramírez#,28,CLE,152,636,6.8,9400000.0,*5D/H,ramirjo01,2021
J.T. Realmuto,30,PHI,134,537,3.5,20000000.0,*23/HD,realmjt01,2021
Hunter Renfroe,29,BOS,144,572,2.4,3100000.0,*9/8HD,renfrhu01,2021
Anthony Rizzo*,31,2TM,141,576,1.7,16500000.0,3/41,rizzoan01,2021
Miguel Rojas,32,MIA,132,539,2.6,5000000.0,*6/H,rojasmi02,2021
Amed Rosario,25,CLE,141,588,2.0,2400000.0,*68/HD,rosaram01,2021
Miguel Sanó,28,MIN,135,532,1.0,11000000.0,*3D/5H,sanomi01,2021
Carlos Santana#,35,KCR,158,659,-0.1,7000000.0,*3D/H,santaca01,2021
Jonathan Schoop,29,DET,156,674,1.9,4500000.0,*34D/5,schoojo01,2021
Kyle Seager*,33,SEA,159,670,2.0,18500000.0,*5D/H,seageky01,2021
Jean Segura,31,PHI,131,567,3.7,14850000.0,*4/H6,segurje01,2021
Marcus Semien,30,TOR,162,724,7.1,18000000.0,*46/D,semiema01,2021
Jorge Soler,29,2TM,149,602,-0.1,8050000.0,9/DH,solerjo01,2021
Juan Soto*,22,WSN,151,654,7.1,8500000.0,*9/HD,sotoju01,2021
Giancarlo Stanton,31,NYY,139,579,3.1,29000000.0,D97/H,stantmi03,2021
Trevor Story,28,COL,142,595,4.2,18500000.0,*6/HD,storytr01,2021
Eugenio Suárez,29,CIN,145,574,-0.5,10785714.0,56H,suareeu01,2021
Dansby Swanson,27,ATL,160,653,2.1,6000000.0,*6/H,swansda01,2021
Raimel Tapia*,27,COL,133,533,0.9,1950000.0,*7H/98,tapiara01,2021
Fernando Tatis Jr.,22,SDP,130,546,6.6,1714286.0,69/8HD,tatisfe02,2021
Chris Taylor,30,LAD,148,582,2.5,7800000.0,84765/H9,tayloch03,2021
Michael A. Taylor,30,KCR,142,528,2.6,1750000.0,*8/HD,taylomi02,2021
Gleyber Torres,24,NYY,127,516,0.8,4000000.0,64/H,torregl01,2021
Justin Turner,36,LAD,151,612,3.5,12000000.0,*5H/D1,turneju01,2021
Trea Turner,28,2TM,148,646,6.4,13000000.0,64/H,turnetr01,2021
Jonathan Villar#,30,NYM,142,505,1.7,3550000.0,56H/4,villajo01,2021
Joey Votto*,37,CIN,129,533,3.7,25000000.0,*3/DH,vottojo01,2021
