Name,Age,Tm,G,PA,WAR,Salary,Pos Summary,Name-additional,Year
José Abreu,34,CHW,152,659,2.9,17666666.0,*3D/5,abreujo02,2021
Jesús Aguilar,31,MIA,131,510,1.4,4300000.0,*3H/D5,aguilje01,2021
Ozzie Albies#,24,ATL,156,686,3.6,3000000.0,*4,albieoz01,2021
Jose Altuve,31,HOU,146,678,4.5,29000000.0,*4/HD,altuvjo01,2021
Tim Anderson,28,CHW,123,551,4.7,7250000.0,*6,anderti01,2021
Elvis Andrus,32,OAK,146,541,0.6,14250000.0,*6/H,andruel01,2021
Nolan Arenado,30,STL,157,653,4.0,35000000.0,*5/D,arenano01,2021
Javier Báez,28,2TM,138,547,4.5,11600000.0,64/H,baezja01,2021
Josh Bell#,28,WSN,144,568,3.1,6350000.0,*3H/7D9,belljo02,2021
Andrew Benintendi*,26,KCR,134,538,2.6,6600000.0,*7/H,beninan01,2021
Mookie Betts,28,LAD,122,550,4.0,22916667.0,*98/4H,bettsmo01,2021
Charlie Blackmon*,34,COL,150,582,1.0,21500000.0,*9H/D,blackch02,2021
Xander Bogaerts,28,BOS,144,603,5.0,20000000.0,*6/DH,bogaexa01,2021
Michael Brantley*,34,HOU,121,508,2.5,16000000.0,7D/9H,brantmi02,2021
Kris Bryant,29,2TM,144,586,3.3,19500000.0,57983/H6,bryankr01,2021
Miguel Cabrera,38,DET,130,526,-0.6,30000000.0,D3/H,cabremi01,2021
Jeimer Candelario#,27,DET,149,626,3.7,2850000.0,*5/D,candeje01,2021
Mark Canha,32,OAK,141,625,2.6,6920000.0,*798/D3H,canhama01,2021
Nick Castellanos,29,CIN,138,585,3.4,14000000.0,*9/DH,casteni01,2021
Matt Chapman,28,OAK,151,622,3.5,6490000.0,*5/6H,chapmma01,2021
Carlos Correa,26,HOU,148,640,7.2,11700000.0,*6,correca01,2021
Brandon Crawford*,34,SFG,138,549,6.1,15200000.0,*6/H,crawfbr01,2021
J.P. Crawford*,26,SEA,160,687,3.8,2050000.0,*6,crawfjp01,2021
C.J. Cron,31,COL,142,547,3.3,1000000.0,*3H/D,croncj01,2021
Nelson Cruz,40,2TM,140,584,2.5,13000000.0,*D/H3,cruzne02,2021
Rafael Devers*,24,BOS,156,664,3.7,4575000.0,*5/D4H,deverra01,2021
Josh Donaldson,35,MIN,135,543,3.2,21750000.0,5D/H,donaljo02,2021
Hunter Dozier,29,KCR,144,543,-2.4,2500000.0,9537D/H,doziehu01,2021
Eduardo Escobar#,32,2TM,146,599,2.5,7666667.0,543/H6,escobed01,2021
Kyle Farmer,30,CIN,147,529,1.3,640000.0,*65/4H37,farmeky01,2021
David Fletcher,27,LAA,157,665,1.8,2000000.0,*46/H,fletcda02,2021
