Name,Age,Tm,G,PA,WAR,Salary,Pos Summary,Name-additional,Year
José Abreu,29,CHW,159,695,3.1,13334000.0,*3/D,abreujo02,2016
Yonder Alonso*,29,OAK,156,532,-0.2,2650000.0,*3H/5D,alonsyo01,2016
Jose Altuve,26,HOU,161,717,7.9,3500000.0,*4D/H6,altuvjo01,2016
Elvis Andrus,27,TEX,147,568,2.9,15000000.0,*6,andruel01,2016
Nolan Arenado,25,COL,160,696,5.9,5000000.0,*5,arenano01,2016
José Bautista,35,TOR,116,517,1.2,14000000.0,9D/3,bautijo02,2016
Brandon Belt*,28,SFG,156,655,4.1,6200000.0,*3/H7,beltbr01,2016
Carlos Beltrán#,39,2TM,151,593,2.2,15000000.0,D9H,beltrca01,2016
Adrián Beltré,37,TEX,153,640,6.7,18000000.0,*5D,beltrad01,2016
Mookie Betts,23,BOS,158,730,9.5,566000.0,*9/H,bettsmo01,2016
Charlie Blackmon*,29,COL,143,641,4.6,3500000.0,*8/H,blackch02,2016
Xander Bogaerts,23,BOS,157,719,3.8,650500.0,*6,bogaexa01,2016
Jackie Bradley Jr.*,26,BOS,156,636,5.8,546500.0,*8/H,bradlja02,2016
Ryan Braun,32,MIL,135,564,4.3,20000000.0,*7/HD9,braunry02,2016
Jay Bruce*,29,2TM,147,589,1.0,12500000.0,*9/HD8,bruceja01,2016
Kris Bryant,24,CHC,155,699,7.3,652000.0,579/38D6,bryankr01,2016
Asdrúbal Cabrera#,30,NYM,141,568,3.3,8250000.0,*6/H,cabreas01,2016
Melky Cabrera#,31,CHW,151,646,2.5,14000000.0,*7/DH,cabreme01,2016
Miguel Cabrera,33,DET,158,679,5.1,28000000.0,*3/DH5,cabremi01,2016
Kole Calhoun*,28,LAA,157,672,3.2,3400000.0,*9/DH,calhoko01,2016
Robinson Canó*,33,SEA,161,715,7.3,24000000.0,*4/D,canoro01,2016
Matt Carpenter*,30,STL,129,566,4.1,6500000.0,534/HD,carpema01,2016
Chris Carter,29,MIL,160,644,0.9,2500000.0,*3/HD,cartech02,2016
Starlin Castro,26,NYY,151,610,1.2,7857143.0,*4/H6,castrst01,2016
Yoenis Céspedes,30,NYM,132,543,3.0,27500000.0,*78/HD,cespeyo01,2016
Carlos Correa,21,HOU,153,660,7.0,516700.0,*6/H,correca01,2016
Zack Cozart,30,CIN,121,508,2.2,2925000.0,*6H/D,cozarza01,2016
Brandon Crawford*,29,SFG,155,623,5.5,6000000.0,*6/H,crawfbr01,2016
Nelson Cruz,35,SEA,155,667,4.8,14250000.0,D9,cruzne02,2016
Chris Davis*,30,BAL,157,665,3.1,23000000.0,*3/9D,davisch02,2016
Khris Davis,28,OAK,150,610,2.5,524500.0,7D/H,daviskh01,2016
Ian Desmond,30,TEX,156,677,2.2,8000000.0,*87,desmoia01,2016
Corey Dickerson*,27,TBR,148,548,1.6,522900.0,7DH/9,dickeco01,2016
Josh Donaldson,30,TOR,155,700,7.2,11650000.0,*5D/H,donaljo02,2016
Brian Dozier,29,MIN,155,691,5.8,3000000.0,*4/DH,doziebr01,2016
Adam Duvall,27,CIN,150,608,3.3,510000.0,*7/93H5,duvalad01,2016
Adam Eaton*,27,CHW,157,706,6.6,2750000.0,*98/D7H,eatonad02,2016
Jacoby Ellsbury*,32,NYY,148,626,2.7,21142857.0,*8/H,ellsbja01,2016
Edwin Encarnación,33,TOR,160,702,4.1,10000000.0,D3,encared01,2016
Alcides Escobar,29,KCR,162,682,0.7,5250000.0,*6,escobal02,2016
Yunel Escobar,33,LAA,132,567,1.2,7000000.0,*5/H,escobyu01,2016
Danny Espinosa#,29,WSN,157,601,2.0,2875000.0,*6/H,espinda01,2016
Logan Forsythe,29,TBR,127,567,3.5,2250000.0,*4/DH,forsylo01,2016
Dexter Fowler#,30,CHC,125,551,4.0,8000000.0,*8/HD,fowlede01,2016
Maikel Franco,23,PHI,152,630,0.6,517500.0,*5/H,francma02,2016
Todd Frazier,30,CHW,158,666,3.4,8250000.0,*5/3D,frazito01,2016
Freddie Freeman*,26,ATL,158,693,6.3,12000000.0,*3,freemfr01,2016
Freddy Galvis#,26,PHI,158,624,1.1,2000000.0,*6/H,galvifr01,2016
Adonis García,31,ATL,134,563,-0.2,508750.0,*5/H7D,garciad01,2016
Brett Gardner*,32,NYY,148,634,3.2,13500000.0,*7/H8,gardnbr01,2016
Scooter Gennett*,26,MIL,136,542,0.5,518100.0,*4H/D,gennesc01,2016
Paul Goldschmidt,28,ARI,158,705,5.0,5875000.0,*3/D,goldspa01,2016
Adrián González*,34,LAD,156,633,1.9,21857000.0,*3/HD,gonzaad01,2016
Carlos González*,30,COL,150,632,2.3,17000000.0,*9/H,gonzaca01,2016
Marwin Gonzalez#,27,HOU,141,518,1.2,2000000.0,357H46/D8,gonzama01,2016
Alex Gordon*,32,KCR,128,506,0.7,12000000.0,*7/H,gordoal01,2016
Curtis Granderson*,35,NYM,150,633,2.8,16000000.0,*98H/7D,grandcu01,2016
Didi Gregorius*,26,NYY,153,597,2.3,2425000.0,*6/H,gregodi01,2016
Bryce Harper*,23,WSN,147,627,1.5,5000000.0,*9/H,harpebr03,2016
Josh Harrison,28,PIT,131,522,2.0,5250000.0,*4/H9,harrijo05,2016
