Name,Age,Tm,G,PA,WAR,Salary,Pos Summary,Name-additional,Year
Chase Headley#,32,NYY,140,529,2.3,13000000.0,*5/HD,headlch01,2016
Adeiny Hechavarria,27,MIA,155,547,1.0,2625000.0,*6/H,hechaad01,2016
César Hernández#,26,PHI,155,622,3.0,525000.0,*4/H6,hernace02,2016
Odúbel Herrera*,24,PHI,159,656,4.6,528000.0,*8/H,herreod01,2016
Jason Heyward*,26,CHC,142,592,1.0,21666666.0,*98/H,heywaja01,2016
Eric Hosmer*,26,KCR,158,667,1.6,8250000.0,*3/D,hosmeer01,2016
José Iglesias,26,DET,137,513,2.5,2100000.0,*6/H,iglesjo01,2016
Ender Inciarte*,25,ATL,131,578,3.8,523000.0,*87/H,inciaen01,2016
Adam Jones,30,BAL,152,672,1.7,16333333.0,*8,jonesad01,2016
Matt Kemp,31,2TM,156,672,0.3,21750000.0,*97/HD,kempma01,2016
Howie Kendrick,32,LAD,146,543,0.6,10000000.0,74H53/D,kendrho01,2016
Ian Kinsler,34,DET,153,679,5.6,14000000.0,*4/HD,kinslia01,2016
Jason Kipnis*,29,CLE,156,688,3.8,6166667.0,*4/DH,kipnija01,2016
Jake Lamb*,25,ARI,151,594,2.8,520300.0,*5H,lambja01,2016
DJ LeMahieu,27,COL,146,635,5.3,3000000.0,*4/H,lemahdj01,2016
Francisco Lindor#,22,CLE,158,684,5.1,540300.0,*6/HD,lindofr01,2016
Evan Longoria,30,TBR,160,685,4.4,11500000.0,*5/D,longoev01,2016
Jonathan Lucroy,30,2TM,142,544,3.7,4000000.0,2/H3D,lucrojo01,2016
Manny Machado,23,BAL,157,696,7.3,5000000.0,*56,machama01,2016
Nick Markakis*,32,ATL,158,684,1.6,11000000.0,*9/DH3,markani01,2016
Starling Marte,27,PIT,129,529,4.8,3333333.0,*78/H,martest01,2016
Leonys Martín*,28,SEA,143,576,1.1,4150000.0,*8,martile01,2016
Russell Martin,33,TOR,137,535,2.0,15000000.0,*2H/D45,martiru01,2016
J.D. Martinez,28,DET,120,517,1.7,6750000.0,*9/DH,martijd02,2016
Victor Martinez#,37,DET,154,610,1.5,18000000.0,*DH/3,martivi01,2016
Joe Mauer*,33,MIN,134,576,2.2,23000000.0,3D/H,mauerjo01,2016
Andrew McCutchen,29,PIT,153,675,-0.3,13000000.0,*8/H,mccutan01,2016
Jordy Mercer,29,PIT,149,584,1.2,2075000.0,*6/H,mercejo03,2016
Brad Miller*,26,TBR,152,601,0.9,527600.0,63/HD7,millebr02,2016
Yadier Molina,33,STL,147,581,3.0,14000000.0,*2/3H,molinya01,2016
Kendrys Morales#,33,KCR,154,618,0.9,9000000.0,*D/3H9,moralke01,2016
Mitch Moreland*,30,TEX,147,503,1.0,5700000.0,*3H/D,morelmi01,2016
Daniel Murphy*,31,WSN,142,582,4.5,8000000.0,*43/H5D,murphda08,2016
Wil Myers,25,SDP,157,676,3.5,523900.0,*3/97H5,myerswi01,2016
Mike Napoli,34,CLE,150,645,1.0,7000000.0,3D/H,napolmi01,2016
Eduardo Núñez,29,2TM,141,595,1.7,1475000.0,65/D4H,nunezed02,2016
Rougned Odor*,22,TEX,150,632,2.7,522700.0,*4/DH,odorro01,2016
David Ortiz*,40,BOS,151,626,5.2,16000000.0,*DH/3,ortizda01,2016
Marcell Ozuna,25,MIA,148,608,2.1,570000.0,*87/9H,ozunama01,2016
Ángel Pagán#,34,SFG,129,543,1.8,11250000.0,*7/8H,paganan01,2016
Joe Panik*,25,SFG,127,526,1.2,545000.0,*4/H,panikjo01,2016
Dustin Pedroia,32,BOS,154,698,5.4,13000000.0,*4/H,pedrodu01,2016
Salvador Perez,26,KCR,139,546,2.9,2000000.0,*2/DH3,perezsa02,2016
Brandon Phillips,35,CIN,141,584,0.1,13000000.0,*4/D,phillbr01,2016
Kevin Pillar,27,TOR,146,584,3.6,521100.0,*8,pillake01,2016
Stephen Piscotty,25,STL,153,649,2.8,512500.0,*98/H3,piscost01,2016
Gregory Polanco*,24,PIT,144,587,1.6,535000.0,*97/H8D,polangr01,2016
Buster Posey,29,SFG,146,614,4.9,20000000.0,*23/HD,poseybu01,2016
Martín Prado,32,MIA,153,658,3.8,11000000.0,*5/HD,pradoma01,2016
Albert Pujols,36,LAA,152,650,1.5,25000000.0,*D3/H,pujolal01,2016
Alexei Ramírez,34,2TM,145,506,-1.7,3000000.0,*6H/9D,ramiral03,2016
Hanley Ramirez,32,BOS,147,620,2.6,22750000.0,*3D/H,ramirha01,2016
José Ramírez#,23,CLE,152,618,4.8,518200.0,*57/4H6,ramirjo01,2016
Wilson Ramos,28,WSN,131,523,3.0,5350000.0,*2/H,ramoswi01,2016
J.T. Realmuto,25,MIA,137,545,2.6,532500.0,*2H/D,realmjt01,2016
Anthony Rendon,26,WSN,156,647,4.5,2800000.0,*5/H,rendoan01,2016
Anthony Rizzo*,26,CHC,155,676,5.8,5000000.0,*3/H4,rizzoan01,2016
Addison Russell,22,CHC,151,598,3.7,527000.0,*6/H,russead02,2016
Carlos Santana#,30,CLE,158,688,3.5,8250000.0,D3/H,santaca01,2016
Michael Saunders*,29,TOR,140,558,1.5,2900000.0,*79/DH8,saundmi01,2016
Jonathan Schoop,24,BAL,162,647,3.4,522500.0,*4,schoojo01,2016
Corey Seager*,22,LAD,157,687,5.2,510000.0,*6/H,seageco01,2016
Kyle Seager*,28,SEA,158,676,6.7,8000000.0,*5/D,seageky01,2016
Jean Segura,26,ARI,153,694,6.4,2600000.0,*46/H,segurje01,2016
Marcus Semien,25,OAK,159,621,3.5,512500.0,*6,semiema01,2016
Travis Shaw*,26,BOS,145,530,1.7,515000.0,53H/D7,shawtr01,2016
Denard Span*,32,SFG,143,637,1.6,5000000.0,*8/H,spande01,2016
George Springer,26,HOU,162,744,5.1,522400.0,*9D/8H,springe01,2016
Eugenio Suárez,24,CIN,159,627,1.6,545000.0,*5/H6D,suareeu01,2016
Yasmany Tomás,25,ARI,140,563,-0.9,7500000.0,*97/H3,tomasya01,2016
Mike Trout,24,LAA,159,681,10.5,16083000.0,*8D/H,troutmi01,2016
Mark Trumbo,30,BAL,159,667,2.1,9150000.0,9D/37,trumbma01,2016
Troy Tulowitzki,31,TOR,131,544,3.2,20000000.0,*6/D,tulowtr01,2016
Justin Turner,31,LAD,151,622,5.0,5100000.0,*5H/D3,turneju01,2016
B.J. Upton,31,2TM,149,539,1.4,15450000.0,78/H9,uptonbj01,2016
Justin Upton,28,DET,153,626,1.7,22125000.0,*7/8HD,uptonju01,2016
Chase Utley*,37,LAD,138,565,1.2,7000000.0,*4H/5,utleych01,2016
Danny Valencia,31,OAK,130,517,1.4,3150000.0,593/DH7,valenda01,2016
Jonathan Villar#,25,MIL,156,679,3.2,512900.0,654/H,villajo01,2016
Stephen Vogt*,31,OAK,137,532,2.1,527500.0,*2DH/3,vogtst01,2016
Joey Votto*,32,CIN,158,677,4.2,20000000.0,*3/HD,vottojo01,2016
Jayson Werth,37,WSN,143,606,0.3,21000000.0,*7/DH9,werthja01,2016
Christian Yelich*,24,MIA,155,659,4.9,1000000.0,*78/HD,yelicch01,2016
Ben Zobrist#,35,CHC,147,631,3.4,10500000.0,*479/H36,zobribe01,2016
